num_rows,num_columns,missing_ration,avg_std,avg_skewness,avg_variance,avg_correlation,num_numeric_features,num_categorical_features,dataset_name
18249,14,0.0,729474.1367063611,7.263152778094689,1507083294730.6143,0.5231433901332951,11,3,avocado.csv
29531,16,0.18727777589651554,37.649935162305006,5.921192541466985,2807.846647822373,0.3164998146585668,13,3,city_day.csv
707875,16,0.2221159279533816,44.38683366484811,8.118295640889379,3785.1340527470466,0.2893200907527808,13,3,city_hour.csv
284807,31,0.0,1540.8273080927856,0.7253449640571136,72747954.74209027,0.04988728778650872,31,0,creditcard.csv
45476,3,0.0,112443.79653647379,1.2798522613159038,12643607379.535915,1.0,1,2,credits.csv
569,33,0.030303030303030304,4032955.8952832827,1.8930952515114,504198284750814.25,0.39346494298658524,32,1,data.csv
768,9,0.0,22.92743279787282,0.5409984083272416,1682.7448062427777,0.2708674790173854,9,0,diabetes.csv
607,12,0.0,323106.303479028,2.8160838631918557,478015002320.75116,0.34478762657510575,5,7,ds_salaries.csv
5110,12,0.0032778864970645794,3034.029983992751,1.9037959829811293,63974440.847299464,0.2507107138712806,7,5,healthcare-dataset-stroke-data.csv
545,13,0.0,312102.1210485985,1.0904208873067887,583091510889.1538,0.41548718133594664,6,7,Housing.csv
2240,1,0.0,0.0,0.0,0.0,0.0,0,1,marketing_campaign.csv
8807,12,0.04075356723818175,8.819312130833966,-3.4465650403316013,77.78026646107516,1.0,1,11,netflix_titles.csv
230,5,0.08434782608695653,0.0,0.0,0.0,0.0,0,5,stations.csv
108035,16,0.24452318693016153,43.7518897688539,5.8471978310064685,3523.0392043468423,0.3320661989241996,13,3,station_day.csv
2589083,16,0.2815787481513725,50.69507813892432,8.584655104998895,4502.135601418863,0.2982520189751564,13,3,station_hour.csv
395,33,0.0,1.998897021824283,0.5499798182628713,7.711627738867827,0.18696010421569498,16,17,student_data.csv
100,3,0.0,6.166211886533307,0.2639160626790585,71.36965661760941,0.6809849577474568,3,0,Student_Marks.csv
7043,21,0.0,18.339379908794324,0.617549353236953,502.904972326679,0.4410311272320517,3,18,telco_customer_churn.csv
891,12,0.08099513655069211,46.40074747048719,1.6384098010942252,9844.89393273531,0.2793139406691622,7,5,titanic.csv
2627,11,0.018202581582863274,660.0264282089942,0.7804271672212129,1713877.9961758074,0.32649285791319155,4,7,titanic_test.csv
8068,11,0.01782575381980439,654.257776085224,0.753871293986479,1684074.2425497572,0.3227605582603336,4,7,titanic_train.csv
1599,12,0.0,4.09387081411186,1.5610046462363296,99.87076517039687,0.26485928912738776,12,0,winequality-red.csv
6497,13,0.00044991179360888455,6.9208005724590675,1.2657884050082056,294.69709263557496,0.2921914888934128,12,1,winequalityN.csv
76000,171,0.08300207756232687,7541433.696616072,43.592134220337975,3816570659896250.5,0.22341311623679014,170,1,APSFailure.csv
748,5,0.0,299.71286444546223,2.0571161167046546,426357.6537168282,0.4839183784067102,5,0,blood-transfusion-service-center.csv
1728,7,0.0,0.0,0.0,0.0,0.0,0,7,car.csv
1000,21,0.0,407.0476188282119,0.9203791257169,1138303.0316721008,0.23070214321234522,7,14,credit-g.csv
768,9,0.0,25.733742975451573,0.5292461289375234,1893.0594716960932,0.2751996903495607,8,1,diabetes.csv
